occurrence.genus_name,occurrence.species_name
Palaeotherium,siderolithicum
Plagiolophus,annectens
Leptolophus,stehlini
Anchilophus,desmaresti
Anchilophus,gaudini
Anchilophus,dumasi
Pachynolophus,bretovensis
Eurohippus,parvulus
Propalaeotherium,sp.
Pseudoloris,parvulus
Necrolemur,antiquus
Leptadapis,magnus
Mixtotherium,cuspidatum
Robiacina,quercyi
Leptotheridium,lugeoni
Tapirulus,perrierensis
Pseudamphimeryx,renevieri
Amphiperatherium,minutum
Amphiperatherium,fontense
Peratherium,lavergnense
Heterohyus,sudrei
Saturninia,gracilis
Saturninia,beata
Hipposideros,morloti
Hipposideros,schlosseri
Hipposideros,sp.2
Palaeophyllophora,sp.1
Rhinolophus,sp.2
Vespertiliavus,wingei
Vespertiliavus,sp.
Cynohyaenodon,sp.
Quercygale,angustidens
Gliravus,sp.
Suevosciurus,sp.
Theridomys,crusafonti
Pseudoltinomys,sp.
Theridomys,sp.2
Haplomeryx,euzetensis
Adapis,parisiensis
Dichobune,leporina
Acotherulum,saturninum
Dacrytherium,saturninii
Tapirulus,hyracinus
Haplomeryx,zitteli
Amphimeryx,murinus
Amphiperatherium,minutum
Amphiperatherium,sp.
Peratherium,cuvieri
Adapis,parisiensis
Dichobune,leporina
Anoplotherium,sp.
Dacrytherium,saturninii
Xiphodon,gracile
Haplomeryx,zitteli
Amphimeryx,murinus
Oxacron,courtoisi
Amphidozotherium,cayluxi
Saturninia,gracilis
Amphiperatherium,minutum
Amphiperatherium,lamandini
Amphiperatherium,ambiguum
Peratherium,cuvieri
Hipposideros,morloti
Hipposideros,schlosseri
Palaeophyllophora,quercyi
Rhinolophus,priscus
Cynodictis,lacustris
Gliravus,priscus
Sciuroides,sp.
Theridomys,spelaeus
Pseudoltinomys,cuvieri
Theridomys,sp.3
Patriotheridomys,altus
Plagiolophus,minor
Paroxacron,sp.
Pseudoloris,crusafonti
Necrolemur,zitteli
Microchoerus,erinaceus
Adapis,parisiensis
Anchomomys,grisollensis
Cebochoerus,campichii
Anthracobunodon,louisi
Peratherium,sp.
Saturninia,sp.
Miacis,sp.
Proviverra,sp.
Gliravus,sp.
Theridomys,sp.
Pseudoloris,parvulus
Leptadapis,magnus
Necrolemur,antiquus
Mouillacitherium,elegans
Cebochoerus,minor
Leptotheridium,lugeoni
Dichodon,sp.
Haplomeryx,euzetensis
Pseudamphimeryx,renevieri
Paroxacron,sp.
Rhinolophus,sp.
Vespertiliavus,sp.
Palaeotherium,sp.
Plagiolophus,minus
Hyaenodon,filholi
Amphimeryx,sp.
Pseudoloris,parvulus
Microchoerus,erinaceus
Leptadapis,magnus
Mouillacitherium,elegans
Leptotheridium,lugeoni
Choeropotamus,depereti
Tapirulus,perrierensis
Haplomeryx,picteti
Pseudamphimeryx,pavloviae
Amphiperatherium,minutum
Peratherium,lavergnense
Peratherium,perrierense
Pseudorhynchocyon,cayluxi
Heterohyus,sp.
Heterohyus,nanus
Saturninia,gracilis
Saturninia,beata
Saturninia,tobieni
Hipposideros,schlosseri
Hipposideros,sp.2
Palaeophyllophora,oltina
Rhinolophus,priscus
Vespertiliavus,gracilis
Vespertiliavus,sp.
Stehlinia,gracilis
Tadarida,sp.
Prototomus,minor
Hyaenodon,minor
Cynodictis,sp.
Gliravus,sp.
Gliravus,priscus
Gliravus,meridionalis
Suevosciurus,mutabilis
Suevosciurus,minimus
Sciuroides,intermedius
Theridomys,crusafonti
Remys,garimondi
Elfomys,parvulus
Pseudoltinomys,phosphoricus
Theridomys,euzetensis
Plagiolophus,sp.
Amphiperatherium,minutum
Peratherium,lavergnense
Peratherium,cuvieri
Peratherium,perrierense
Heterohyus,nanus
Saturninia,beata
Saturninia,gracilis
Saturninia,intermedia
Hipposideros,schlosseri
Hipposideros,morloti
Hipposideros,sp.2
Palaeophyllophora,quercyi
Necromantis,adichaster
Vespertiliavus,gracilis
Vespertiliavus,wingei
Vespertiliavus,sp.
Stehlinia,gracilis
Stehlinia,minor
Stehlinia,quercyi
Tadarida,sp.
Cynohyaenodon,sp.
Hyaenodon,brachyrhynchus
Hyaenodon,minor
Hyaenodon,requieni
Quercygale,angustidens
Leptadapis,magnus
Microchoerus,erinaceus
Pseudoloris,parvulus
Gliravus,priscus
Gliravus,meridionalis
Suevosciurus,mutabilis
Sciuroides,intermedius
Elfomys,parvulus
Pseudoltinomys,phosphoricus
Theridomys,euzetensis
Lophiotherium,cervulum
Palaeotherium,magnum
Palaeotherium,sp.
Plagiolophus,annectens
Mouillacitherium,elegans
Acotherulum,pumilum
Mixtotherium,cuspidatum
Dacrytherium,ovinum
Leptotheridium,lugeoni
Tapirulus,perrierensis
Haplomeryx,euzetensis
Pseudamphimeryx,pavloviae
Pseudamphimeryx,renevieri
Dichodon,cervinum
Pseudoloris,parvulus
Necrolemur,antiquus
Leptadapis,magnus
Dichodon,sp.
Haplomeryx,picteti
Pseudamphimeryx,renevieri
Acotherulum,pumilum
Dacrytherium,saturninii
Theridomys,sp.1
Pseudoltinomys,phosphoricus
Theridomys,sp.
Microsuevosciurus,sp.
Elfomys,parvulus
Hipposideros,morloti
Dichobune,leporina
Oxacron,courtoisi
Amphimeryx,murinus
Tapirulus,hyracinus
Amphiperatherium,minutum
Amphiperatherium,ambiguum
Peratherium,cuvieri
Saturninia,gracilis
Saturninia,tobieni
Rhinolophus,priscus
Tadarida,sp.
Pseudoltinomys,cuvieri
Blainvillimys,rotundidens
Patriotheridomys,altus
Palaeotherium,medium
Plagiolophus,minor
Pseudoloris,parvulus
Necrolemur,antiquus
Leptadapis,magnus
Mouillacitherium,elegans
Mixtotherium,cuspidatum
Leptotheridium,lugeoni
Robiacina,quercyi
Tapirulus,perrierensis
Haplomeryx,picteti
Dichodon,cervinum
Pseudamphimeryx,renevieri
Pseudamphimeryx,renevieri
Adapis,parisiensis
Dichobune,leporina
Anoplotherium,sp.
Tapirulus,hyracinus
Haplomeryx,zitteli
Oxacron,courtoisi
Amphimeryx,murinus
Pseudoltinomys,cuvieri
Kuehneotherium,sp.
Geniohyus,magnus
Titanohyrax,angustidens
Saghatherium,humarum
Selenohyrax,chatrathi
Thyrohyrax,domorictus
Metapterodon,schlosseri
Propliopithecus,ankeli
Apidium,bowni
Ptolemaia,grangeri
Cleopatrodon,ayeshae
Pachyhyrax,crassidentatus
Thyrohyrax,domorictus
Titanohyrax,angustidens
Apidium,phiomense
Aegyptopithecus,zeuxis
Propliopithecus,chirobates
Metaphiomys,beadnelli
Philisis,sphingis
Megalohyrax,eocaenus
Cleopatrodon,robusta
Neophiomys,paraphiomyoides
Paraphiomys,simonsi
Gaudeamus,aegypticus
Phiocricetomys,minutus
Parapithecus,grangeri
Pachyhyrax,crassidentatus
Thyrohyrax,domorictus
Pachyhyrax,crassidentatus
Thyrohyrax,domorictus
Apidium,phiomense
Metoldobotes,stromeri
Pterodon,syrtos
Afrotarsius,chatrathi
Megalohyrax,eocaenus
Parapithecus,grangeri
Qatrania,fleaglei
Aegyptopithecus,zeuxis
Thyrohyrax,pygmaeus
Thyrohyrax,sp.
Phiomys,andrewsi
Thyrohyrax,sp.
Qatrania,wingi
Oligopithecus,savagei
Phiomys,andrewsi
Talahphiomys,lavocati
Metaphiomys,schaubi
Gaudeamus,aegypticus
Titanohyrax,angustidens
Thyrohyrax,domorictus
Prothoatherium,colombianus
Pseudoprepotherium,confusum
Prothoatherium,colombianus
Neoreomys,huilensis
Scleromys,colombianus
Hondadelphys,fieldsi
Rhodanodolichotis,antepridiana
Prothoatherium,colombianus
Neoglyptatelus,originalis
Nanoastegotherium,prostatum
Prothoatherium,Colombianus
Prothoatherium,colombianus
Prothoatherium,colombianus
Anadasypus,hondanus
Hipparion,punjabiense
Stegodon,bombifrons
Aceratherium,lydekkeri
Hippopotamodon,titan
Siwalikosorex,parasadi
Rhizomyoides,sivalensis
Kanisamys,sivalensis
Allodesmus,courseni
Imagotaria,downsi
Pinocetus,polonicus
Basiloterus,hussaini
Megistotherium,osteothlastes
Potwarmus,sp.
Sayimys,sp.
Metaxytherium,sp.
Rytiodus,sp.
Brachypotherium,snowi
Sivameryx,africanus
Brachyodus,sp.
Dasypus,bellus
Equus,sp.
Mylohyus,fossilis
Tamias,aristus
Didelphis,marsupialis
Pekania,pennanti
Sylvilagus,transitionalis
Blarina,brevicauda
Scalopus,aquaticus
Myotis,lucifugus
Myotis,grisescens
Pipistrellus,subflavus
Eptesicus,fuscus
Sorex,cinereus
Sorex,fumeus
Marmota,monax
Castor,canadensis
Oryzomys,palustris
Peromyscus,maniculatus
Peromyscus,leucopus
Peromyscus,sp.
Sigmodon,hispidus
Neotoma,floridana
Microtus,pinetorum
Neofiber,alleni
Ondatra,zibethicus
Synaptomys,cooperi
Zapus,hudsonius
Canis,lupus
Urocyon,cinereoargenteus
Ursus,americanus
Tremarctos,floridanus
Procyon,lotor
Mustela,frenata
Spilogale,putorius
Mephitis,mephitis
Conepatus,leuconotus
Lontra,canadensis
Panthera,onca
Miracinonyx,inexpectatus
Felis,sp.
Lynx,rufus
Odocoileus,virginianus
Tapirus,veroensis
Puma,concolor
Desmostylus,sp.
Mizuhoptera,fujinensis
Thyrohyrax,domorictus
Thyrohyrax,domorictus
Prototherium,intermedium
Crenatosiren,olseni
Dioplotherium,manigaulti
Metaxytherium,albifontanum
Metaxytherium,crataegense
Dioplotherium,manigaulti
Sachalinocetus,cholmicus
Ninoziphius,platyrostris
Piscolithax,longirostris
Pliopontos,littoralis
Odobenocetops,peruvianus
Piscobalaena,nana
Hemisyntrachelus,oligodon
Odobenocetops,leptodon
Acrophoca,longirostris
Piscophoca,pacifica
Hydrarctos,lomasiensis
Acrophyseter,deinodon
Thalassocnus,littoralis
Scaphokogia,sp.
Hadrokirus,martini
Proargyrolagus,bolivianus
Prohegetotherium,schiaffinoi
Sallatherium,altiplanense
Federicoanaya,sallaensis
Praekogia,cedrosensis
Aulophyseter,rionegrensis
Desmostylus,hesperus
Microcetus,sharkovi
Patriocetus,kazakhstanicus
Mixocetus,elysius
Austrosqualodon,trirhizodonta
Eosiren,imenti
Basilosaurus,isis
Dorudon,atrox
Basilosaurus,isis
Dorudon,atrox
Atopotherium,bangmarkensis
Muangthanhinius,siami
Krabia,minuta
Allodesmus,kernensis
Glyptatelus,sp.
Scotamys,sp.
Eutrachytherus,spegazzinianus
Prohegetotherium,sp.
Bubalus,bubalus
Megalovis,guangxiensis
Capricornis,sumatraensis
Hydropotes,sp.
Cervus,unicolor
Muntiacus,reevesi
Sus,scrofa
Rhinoceros,sinensis
Tapirus,augustus
Elephas,kiangnanensis
Stegodon,orientalis
Lynx,sp.
Panthera,pardus
Panthera,tigris
Crocuta,crocuta
Paguma,larvata
Herpestes,urva
Viverra,zibetha
Lutra,lutra
Arctonyx,collaris
Ursus,thibetanus
Ailuropoda,melanoleuca
Cuon,sp.
Hystrix,subcristata
Rattus,rattus
Mus,musculus
Eothenomys,sp.
Pongo,pygmaeus
Macaca,sp.
Hipposideros,sp.
Crocidura,russula
Sorex,sp.
Nomascus,concolor
Rhinopithecus,sp.
Pygathrix,nemaeus
Trachypithecus,phayrei
Trachypithecus,francois
Macaca,assamensis
Macaca,thibetana
Macaca,mulatta
Trachypithecus,sp.
Aulophyseter,morricei
Desmostylus,hesperus
Desmostylus,hesperus
Allodesmus,kernensis
Tiphyocetus,temblorensis
Peripolocetus,vexillifer
Parietobalaena,securis
Liolithax,kernensis
Oedolithax,mira
Lamprolithax,simulans
Lamprolithax,annectens
Nannolithax,gracilis
Platylithax,robusta
Loxolithax,sinuosa
Kentriodon,obscurus
Kentriodon,obscurus
Neotherium,mirum
Leptacodon,sp.
Toliapina,lawsoni
Pithanodelphis,sp.
Piscolithax,sp.
Nannocetus,sp.
Pithanotaria,starri
Imagotaria,downsi
Pontolis,sp.
Dusisiren,jordani
Sastrilophus,dehmi
Raoella,dograi
Kunmunella,rajauriensis
Caprolagus,lapis
Crocuta,crocuta
Pachycrocuta,brevirostris
Pachycrocuta,brevirostris
Litokoala,kutjamarpensis
Rhizophascolonus,crowcrofti
Nambaroo,bullockensis
Macropus,woodsi
Euowenia,grata
Archerium,chinchillaensis
Silvaroo,bila
Sthenurus,andersoni
Sthenurus,notabilis
Simosthenurus,antiquus
Dasyurus,dunmalli
Diprotodon,sp.
Sthenurus,tindalei
Procoptodon,rapha
Peratherium,giselense
Heterohyus,heufelderi
Ceciliolemur,delasaucei
Microtarsioides,voigti
Leptictidium,sp.
Cecilionycteris,prisca
Matthesia,germanica
Matthesia,insolita
Nannopithex,raabi
Protoadapis,klatti
Periconodon,roselli
Ailuravus,picteti
Prodissopsalis,eocaenicus
Quercygale,helvetica
Pugiodens,mirus
Buxobune,sp.
Messelobunodon,ceciliensis
Anthracobunodon,weigelti
Haplobunodon,muelleri
Rhagatherium,kowalevskyi
Eurohippus,parvulus
Hyrachyus,minimus
Lophiodon,filholi
Lophiodon,cuvieri
Palaeotherium,isselanum
Antiacodon,pygmaeus
Hyrachyus,minimum
Palaeotherium,isselanum
Lophiodon,remensis
Rhinocerolophiodon,buxovillanum
Propalaeotherium,hassiacum
Eurohippus,parvulus
Propalaeotherium,hassiacum
Propalaeotherium,voigti
Basilosaurus,isis
Dorudon,atrox
Basilosaurus,isis
Dorudon,atrox
Masracetus,markgrafi
Metaxytherium,crataegense
Dorudon,serratus
Basilosaurus,drazindai
Thinocetus,arthritus
Thinocetus,arthritus
Halicetus,ignotus
Hesperhys,sp.
Elephas,namadicus
Stegodon,rathiansis
Metaxytherium,sp.
Dusisiren,reinharti
Desmostylus,hesperus
Hydrodamalis,cuestae
Equus,sp.
Albireo,savagei
Dorcabune,nagrii
Palaeotupaia,sivalicus
Elephas,maximus
Stegolophodon,miyokoae
Equus,namadicus
Elephas,namadicus
Panthera,leo
Hystrix,sp.
Bos,sp.
Bubalus,palaeindicus
Boselaphus,sp.
Gazella,sp.
Cervus,duvauceli
Antilope,cevicapra
Sus,sp.
Crocuta,sivalensis
Equus,namadicus
Equus,namadicus
Equus,namadicus
Equus,namadicus
Equus,hemionus
Equus,hemionus
Equus,hemionus
Equus,hemionus
Equus,hemionus
Equus,hemionus
Equus,hemionus
Equus,namadicus
Equus,namadicus
Equus,namadicus
Mammuthus,sp.
Bison,sp.
Equus,sp.
Rangifer,sp.
Amphicyon,palaeindicus
Crocuta,carnifex
Hipparion,sp.
Chalicotherium,salinum
Rhinoceros,browni
Dicerorhinus,sumatrensis
Didermocerus,abeli
Hispanotherium,matritense
Aceratherium,sp.
Chilotherium,intermedium
Aprotodon,fatehjangense
Brachypotherium,perimense
Palaeochoerus,perimensis
Listriodon,pentapotamiae
Propotamochoerus,salinus
Hemimeryx,pusillus
Dorcabune,anthracotherioides
Dorcabune,nagrii
Dorcatherium,majus
Dorcatherium,minus
Dorcatherium,sp.
Giraffokeryx,punjabensis
Gazella,lydekkeri
Strepsiportax,sp.
Helicoportax,tragelaphoides
Helicoportax,praecox
Sivaceros,gradiens
Amphicyon,palaeindicus
Indraloris,himalayensis
Crocuta,carnifex
Crocuta,gigantea
Crocuta,sp.
Vinayakia,nocturna
Megantereon,praecox
Orycteropus,browni
Orycteropus,pilgrimi
Hipparion,nagriensis
Hipparion,theobaldi
Chalicotherium,salinum
Rhinoceros,vidali
Hispanotherium,matritense
Chilotherium,intermedium
Aprotodon,fatehjangense
Brachypotherium,perimense
Palaeochoerus,perimensis
Conohyus,sindiensis
Conohyus,indicus
Tetraconodon,minor
Listriodon,pentapotamiae
Lophochoerus,nagrii
Lophochoerus,himalayensis
Propotamochoerus,salinus
Hippopotamodon,robustus
Hippopotamodon,haydeni
Hippopotamodon,sp.
Hippohyus,deterrai
Sus,advena
Hemimeryx,pusillus
Merycopotamus,dissimilis
Dorcatherium,minus
Dorcabune,nagrii
Dorcatherium,majus
Dorcatherium,sp.
Giraffokeryx,punjabiensis
Hydaspitherium,megacephalum
Gazella,lydekkeri
Selenoportax,lydekkeri
Selenoportax,vexillarius
Pachyportax,latidens
Pachyportax,sp.
Helicoportax,tragelaphoides
Helicoportax,praecox
Tragoportax,sp.
Tragocerus,browni
Tragocerus,punjabicus
Sivaceros,gradiens
Crocuta,carnifex
Crocuta,gigantea
Hipparion,theobaldi
Hipparion,antilopinum
Rhinoceros,sivalensis
Chilotherium,intermedium
Brachypotherium,perimense
Listriodon,pentapotamiae
Propotamochoerus,salinus
Merycopotamus,dissimilis
Dorcabune,nagrii
Dorcatherium,majus
Dorcatherium,minus
Dorcatherium,sp.
Hydaspitherium,megacephalum
Gazella,lydekkeri
Selenoportax,lydekkeri
Pachyportax,latidens
Tragoportax,salmontanus
Tragocerus,browni
Tragocerus,punjabicus
Sivaceros,gradiens
Cervus,naorai
Redunca,eremopolitana
Ictitherium,sp.
Hypohippus,sp.
Gazella,sp.
Cervus,sp.
Hipparion,spp.
Chilotherium,sp.
Samotherium,sp.
Elasmotherium,inexpectatum
Elasmotherium,sp.
Elasmotherium,peii
Alloptox,gobiensis
Hipparion,sp.
Galerix,sp.
Lanthanotherium,sp.
Crocidosorex,sp.
Myotis,sp.
Ansomys,orientalis
Eutamias,sihongensis
Youngofiber,sinensis
Microdyromys,orientalis
Sayimys,sp.
Diatomys,shantungensis
Cricetodon,collongensis
Democricetodon,brevis
Spanocricetodon,sp.
Alloptox,sp.
Desmanella,sp.
Dinosorex,sp.
Atlantoxerus,sp.
Sciurus,sp.
Spermophilinus,sp.
Anchitheriomys,tunggurensis
Monosaulax,tunggurensis
Microdyromys,sp.
Keramidomys,sp.
Leptodontomys,sp.
Paralactaga,grauberi
Paralactaga,sp.
Plesiodipus,leei
Cricetodon,sp.
Megacricetodon,sp.
Democricetodon,sp.
Eumyarion,sp.
Alloptox,gobiensis
Bellatona,forsythmajori
Sciurus,sp.
Tamias,sp.
Miopetaurista,sp.
Monosaulax,sp.
Sinocastor,sp.
Keramidomys,sp.
Plesiosminthus,sp.
Cricetodon,sp.
Democricetodon,sp.
Plesiodipus,leei
Prosiphneus,sp.
Ochotona,sp.
Quyania,chowi
Yanshuella,primaeva
Blarinella,sp.
Sorex,sp.
Sorex,sp.
Sorex,sp.
Spermophilinus,sp.
Castor,anderssoni
Myomimus,sinensis
Sicista,sp.
Sicista,sp.
Paralactaga,sp.
Sminthoides,fraudator
Sinocricetus,sp.
Neocricetodon,sp.
Pseudomeriones,sp.
Prosiphneus,sp.
Mimomys,sp.
Apodemus,sp.
Apodemus,sp.
Micromys,sp.
Hypolagus,sp.
Ochotona,sp.
Sorex,sp.
Sorex,sp.
Paenelimnoecus,sp.
Beremendia,sp.
Eucastor,sp.
Prosiphneus,sp.
Nannocricetus,sp.
Mimomys,orientalis
Germanomys,sp.
Orientalomys,sp.
Apodemus,sp.
Mus,sp.
Rattus,sp.
Paralactaga,sp.
Sminthoides,sp.
Pliopentalagus,sp.
Hypolagus,sp.
Ochotona,lagrelii
Ochotona,sp.
Elephas,hysudricus
Balaenoptera,taiwanica
Eutamias,urialis
Myomimus,sumbalenwalicus
Sayimys,sivalensis
Kanisamys,indicus
Dissopsalis,carnifex
Hipparion,sp.
Brachypotherium,perimense
Gaindatherium,browni
Chilotherium,sp.
Giraffokeryx,punjabiensis
Giraffokeryx,sp.
Listriodon,pentapotamiae
Listriodon,sp.
Palaeochoerus,sp.
Dorcatherium,minus
Dorcatherium,sp.
Miotragocerus,sp.
Gazella,sp.
Copemys,sp.
Myocricetodon,sp.
Antemus,chinjiensis
Galerix,rutlandae
Amphechinus,kreuzae
Stegodon,mediterraneus
Elephas,trogontherii
Dicerorhinus,merckii
Hippopotamus,amphibius
Bison,priscus
Equus,caballus
Sus,scrofa
Antilope,mesopotamica
Cervus,elaphus
Roberthoffstetteria,nationalgeographica
Szalinia,gracilis
Alcidedorbignya,inopinata
Pucadelphys,andinus
Mayulestes,ferox
Allqokirus,australis
Andinodelphys,cochabambensis
Molinodus,suarezi
Tiuclaenus,minutus
Tiuclaenus,minutus
Tiuclaenus,cotasi
Tiuclaenus,robustus
Pucanodus,gagnieri
Simoclaenus,sylvaticus
Incadelphys,antiquus
Tiulordia,floresi
Jaskhadelphys,minutus
Khasia,cordillerensis
Peradectes,austrinum
Cimolestes,sp.
Phugatherium,pisanoi
Parahyaenodon,argentinus
Phugatherium,sp.
Ischyrorhynchus,vanbenedeni
Saurocetes,argentinus
Pontivaga,fischeri
Saurocetes,argentinus
Palaeobalaena,bergi
Palaeobalaena,dubia
Ischyrorhynchus,vanbenedeni
Saurocetes,argentinus
Pontistes,rectifrons
Balaena,dubia
Toxodon,paranensis
Ribodon,limbatus
Otaria,fischeri
Chironectes,sp.
Scalabrinitherium,paranense
