Google search term,Result,Matrix
Scandentia,14,GS2012-PS
Scandentia,15,NA
Scandentia,16,NA
Scandentia,17,GS2008-KF
Scandentia,18,NA
Scandentia,19,NA
Scandentia,20,NA
Dermoptera,1,GS2010-FG
Dermoptera,2,GS2011-PV
Dermoptera,3,GS2012-SR
Dermoptera,4,MB773
Dermoptera,5,NA
Dermoptera,6,NA
Dermoptera,7,NA
Dermoptera,8,GS2010-BS
Dermoptera,9,MB367
Dermoptera,10,NA
Dermoptera,11,NA
Dermoptera,12,GS2014-CB
Dermoptera,13,GS2013-C
Dermoptera,14,NA
Dermoptera,15,GS2014-BL
Dermoptera,16,GS2010-SJ
Dermoptera,17,GS2011-T
Dermoptera,18,GS2013-FM
Dermoptera,19,GS2014-WCC
Dermoptera,20,NA
Primates,1,GS2014-PT
Primates,2,GS2014-BL
Primates,3,GS2013-CB
Primates,4,GS2014-OL
Primates,5,GS2012-MB
Primates,6,GS2008-KF
Primates,7,GS2011-GiS
Primates,8,NA
Primates,9,GS2010-BS
Primates,10,NA
Primates,11,MB970
Primates,12,NA
Primates,13,MB773
Primates,14,NA
Primates,15,NA
Primates,16,NA
Primates,17,NA
Primates,18,GS2014-OL
Primates,19,GS2013-SS
Primates,20,GS2013-MF
Lagomorpha,1,GS2014-BL
Lagomorpha,2,MB891
Lagomorpha,3,GS2013-FM
Lagomorpha,4,GS2013-FC
Lagomorpha,5,MB773
Lagomorpha,6,NA
Lagomorpha,7,NA
Lagomorpha,8,GS2010-FG
Lagomorpha,9,NA
Lagomorpha,10,NA
Lagomorpha,11,GS2011-FOS
Lagomorpha,12,GS2013-HF
Lagomorpha,13,NA
Lagomorpha,14,NA
Lagomorpha,15,NA
Lagomorpha,16,MB779
Lagomorpha,17,NA
Lagomorpha,18,NA
Lagomorpha,19,NA
Lagomorpha,20,NA
Rodentia,1,NA
Rodentia,2,GS2014-ML
Rodentia,3,GS2014-BL
Rodentia,4,MB779
Rodentia,5,NA
Rodentia,6,MB728
Rodentia,7,GS2011-PW
Rodentia,8,NA
Rodentia,9,NA
Rodentia,10,NA
Rodentia,11,NA
Rodentia,12,GS2007-R
Rodentia,13,GS2011-PV
Rodentia,14,NA
Rodentia,15,NA
Rodentia,16,NA
Rodentia,17,NA
Rodentia,18,NA
Rodentia,19,NA
Rodentia,20,NA
Erinaceomorpha,1,GS2012-HC
Erinaceomorpha,2,NA
Erinaceomorpha,3,NA
Erinaceomorpha,4,MB316
Erinaceomorpha,5,NA
Erinaceomorpha,6,GS2013-B
Erinaceomorpha,7,GS2011-HM
Erinaceomorpha,8,NA
Erinaceomorpha,9,GS2010-SJ
Erinaceomorpha,10,GS2005-ZP
Erinaceomorpha,11,GS2006-SH
Erinaceomorpha,12,NA
Erinaceomorpha,13,NA
Erinaceomorpha,14,NA
Erinaceomorpha,15,NA
Erinaceomorpha,16,MB567
Erinaceomorpha,17,GS2013-BO
Erinaceomorpha,18,GS2012-SM
Erinaceomorpha,19,MB443
Erinaceomorpha,20,NA
Soricomorpha,1,NA
Soricomorpha,2,NA
Soricomorpha,3,NA
Soricomorpha,4,NA
Soricomorpha,5,NA
Soricomorpha,6,NA
Soricomorpha,7,NA
Soricomorpha,8,NA
Soricomorpha,9,NA
Soricomorpha,10,NA
Soricomorpha,11,NA
Soricomorpha,12,NA
Soricomorpha,13,NA
Soricomorpha,14,GS2011-HM
Soricomorpha,15,GS2006-SH
Soricomorpha,16,NA
Soricomorpha,17,NA
Soricomorpha,18,NA
Soricomorpha,19,NA
Soricomorpha,20,NA
Cetacea,1,MB458
Cetacea,2,GS2012-BF
Cetacea,3,NA
Cetacea,4,NA
Cetacea,5,GS2014-TF
Cetacea,6,NA
Cetacea,7,NA
Cetacea,8,NA
Cetacea,9,NA
Cetacea,10,NA
Cetacea,11,GS2011-JB
Cetacea,12,NA
Cetacea,13,NA
Cetacea,14,NA
Cetacea,15,NA
Cetacea,16,MB773
Cetacea,17,GS2010-F
Cetacea,18,GS2013-BC
Cetacea,19,GS2014-CS
Cetacea,20,NA
Artiodactyla,1,NA
Artiodactyla,2,GS2012-BF
Artiodactyla,3,NA
Artiodactyla,4,NA
Artiodactyla,5,GS2013-S
Artiodactyla,6,NA
Artiodactyla,7,NA
Artiodactyla,8,NA
Artiodactyla,9,GS2013-BC
Artiodactyla,10,NA
Artiodactyla,11,NA
Artiodactyla,12,NA
Artiodactyla,13,GS2013-M
Artiodactyla,14,MB773
Artiodactyla,15,GS2014-PT
Artiodactyla,16,GS2012-MG
Artiodactyla,17,GS2014-CS
Artiodactyla,18,NA
Artiodactyla,19,MB458
Artiodactyla,20,NA
Cetartiodactyla,1,NA
Cetartiodactyla,2,MB458
Cetartiodactyla,3,GS2012-BF
Cetartiodactyla,4,NA
Cetartiodactyla,5,NA
Cetartiodactyla,6,NA
Cetartiodactyla,7,MB773
Cetartiodactyla,8,GS2010-OB
Cetartiodactyla,9,NA
Cetartiodactyla,10,GS2010-OA
Cetartiodactyla,11,NA
Cetartiodactyla,12,GS2010-SJ
Cetartiodactyla,13,NA
Cetartiodactyla,14,GS2011-OD
Cetartiodactyla,15,NA
Cetartiodactyla,16,NA
Cetartiodactyla,17,GS2012-WG
Cetartiodactyla,18,NA
Cetartiodactyla,19,NA
Cetartiodactyla,20,GS2010-BL
Chiroptera,1,NA
Chiroptera,2,MB891
Chiroptera,3,MB773
Chiroptera,4,NA
Chiroptera,5,GS2011-FOS
Chiroptera,6,NA
Chiroptera,7,NA
Chiroptera,8,NA
Chiroptera,9,NA
Chiroptera,10,NA
Chiroptera,11,NA
Chiroptera,12,NA
Chiroptera,13,NA
Chiroptera,14,NA
